chunk_id,patent_id,title,date,text
US-2026106568-A1_chunk_2,US-2026106568-A1,Click-on tower and l-foot mount for attaching solar panels to a roof,20260416,"A mounting system comprising a base to secure to a roof surface; and an attachment mechanism to secure a solar panel to the roof surface, the attachment mechanism including a stand having a bottom to engage the base, a first sidewall extending from the bottom, and a second sidewall extending from the bottom; a lower mounting bracket having an aperture through which a portion of the stand is disposed, and a flange to engage a first side of the solar panel; a first fastener to engage the stand and the lower mounting bracket, the first fastener to adjust a height of the solar panel relative to the roof surface, wherein during actuation of the first fastener, the stand translates within the aperture of the lower mounting bracket; an upper mounting bracket having an aperture to provide access to the first fastener, and a flange to engage a second side of the solar panel; and a second fastener to secure the upper mounting bracket to the lower mounting bracket"
US-2026106568-A1_chunk_4,US-2026106568-A1,Click-on tower and l-foot mount for attaching solar panels to a roof,20260416,"The mounting system of claim 2 , further comprising a third fastener to secure the stand to the base"
US-2026106568-A1_chunk_6,US-2026106568-A1,Click-on tower and l-foot mount for attaching solar panels to a roof,20260416,"The mounting system of claim 3 , wherein prior to tightening the third fastener, the bottom of the stand is translatable along the base"
US-2026106568-A1_chunk_8,US-2026106568-A1,Click-on tower and l-foot mount for attaching solar panels to a roof,20260416,"The mounting system of claim 2 , wherein the bottom of the stand includes at least one of a flange, a tab, or a projection to engage with the base"
US-2026106568-A1_chunk_10,US-2026106568-A1,Click-on tower and l-foot mount for attaching solar panels to a roof,20260416,"The mounting system of claim 2 , wherein the lower mounting bracket further includes a second flange to engage a first side of a second solar panel; and the lower mounting bracket further includes a second flange to engage a second side of the second solar panel"
US-2026106568-A1_chunk_12,US-2026106568-A1,Click-on tower and l-foot mount for attaching solar panels to a roof,20260416,"The mounting system of claim 6 , wherein the flange of the lower mounting bracket and the flange of the upper mounting bracket are disposed on a first side of the stand; and the second flange of the lower mounting bracket and the second flange of the upper mounting bracket are disposed on a second side of the stand, the second side being opposite the first side"
US-2026106568-A1_chunk_14,US-2026106568-A1,Click-on tower and l-foot mount for attaching solar panels to a roof,20260416,"The mounting system of claim 2 , wherein the attachment mechanism electrically bonds to the solar panel"
US-2026106568-A1_chunk_16,US-2026106568-A1,Click-on tower and l-foot mount for attaching solar panels to a roof,20260416,"A system comprising a base; a tower; a first fastener to secure the tower to the base; a first bracket including an aperture through which at least a portion of the tower is disposed, and a flange; an adjustment mechanism to adjust a height of the first bracket relative to the base, the adjustment mechanism engaged with the first bracket; and a second bracket including an aperture to provide access to at least a portion of the adjustment mechanism, a flange, and a second fastener to secure the second bracket to the first bracket"
US-2026106568-A1_chunk_18,US-2026106568-A1,Click-on tower and l-foot mount for attaching solar panels to a roof,20260416,"The system of claim 9 , wherein the flange of the first bracket engages a first surface of a solar panel; and the flange of the second bracket engages a second surface of the solar panel, the second surface being opposite the first surface"
US-2026106568-A1_chunk_20,US-2026106568-A1,Click-on tower and l-foot mount for attaching solar panels to a roof,20260416,"The system of claim 10 , wherein the first bracket includes a second flange to engage a first surface of a second solar panel; and the second bracket includes a second flange to engage a second surface of the second solar panel"
US-2026106568-A1_chunk_22,US-2026106568-A1,Click-on tower and l-foot mount for attaching solar panels to a roof,20260416,"The system of claim 9 , wherein the first bracket includes a second flange; the second bracket includes a second flange; the flange of the first bracket and the flange of the second bracket are disposed on a first side of the adjustment mechanism; and the second flange of the first bracket and the second flange of the second bracket are disposed on a second side of the adjustment mechanism"
